UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
oscread+  1147   970  1164  0    7 10:44 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1147   970  1165  0    7 10:44 ?        00:00:00 /usr/bin/gnome-shell
oscread+  1152     1  1152  0    2 10:44 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1152     1  1154  0    2 10:44 ?        00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
oscread+  1295     1  1295  0    5 10:44 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1295     1  1303  0    5 10:44 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1295     1  1318  0    5 10:44 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1295     1  1319  0    5 10:44 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1295     1  1408  0    5 10:44 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
oscread+  1306     1  1306  0    3 10:44 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1306     1  1310  0    3 10:44 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1306     1  1315  0    3 10:44 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
oscread+  1326   970  1326  0    5 10:44 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1326   970  1403  0    5 10:44 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1326   970  1415  0    5 10:44 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1326   970  1416  0    5 10:44 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1326   970  1419  0    5 10:44 ?        00:00:00 /usr/lib/evolution/3.12/evolution-alarm-notify
oscread+  1327   970  1327  0    3 10:44 ?        00:00:00 nm-applet
oscread+  1327   970  1346  0    3 10:44 ?        00:00:00 nm-applet
oscread+  1327   970  1407  0    3 10:44 ?        00:00:00 nm-applet
oscread+  1329   970  1329  0    3 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1329   970  1479  0    3 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1329   970  1485  0    3 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-user-guides
oscread+  1335   970  1335  0    4 10:44 ?        00:00:02 nautilus -n
oscread+  1335   970  1366  0    4 10:44 ?        00:00:00 nautilus -n
oscread+  1335   970  1381  0    4 10:44 ?        00:00:00 nautilus -n
oscread+  1335   970  1414  0    4 10:44 ?        00:00:00 nautilus -n
oscread+  1338   970  1338  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1351  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1355  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1358  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1460  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1461  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1462  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1463  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1464  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1465  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1466  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1467  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1468  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1338   970  1469  0   14 10:44 ?        00:00:00 /usr/lib/tracker/tracker-extract
oscread+  1344     1  1344  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1344     1  1350  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1344     1  1352  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1344     1  1354  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1344     1  1372  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1344     1  1373  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1344     1  1374  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1344     1  1375  0    8 10:44 ?        00:00:00 /usr/lib/tracker/tracker-store
oscread+  1349   970  1349  0    4 10:44 ?        00:00:00 zeitgeist-datahub
oscread+  1349   970  1367  0    4 10:44 ?        00:00:00 zeitgeist-datahub
oscread+  1349   970  1396  0    4 10:44 ?        00:00:00 zeitgeist-datahub
oscread+  1349   970  1397  0    4 10:44 ?        00:00:00 zeitgeist-datahub
oscread+  1357   970  1357  0    4 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1357   970  1362  0    4 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1357   970  1378  0    4 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1357   970  1383  0    4 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-fs
oscread+  1361   970  1361  0    3 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1361   970  1478  0    3 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1361   970  1483  0    3 10:44 ?        00:00:00 /usr/lib/tracker/tracker-miner-apps
oscread+  1369   970  1369  0    2 10:44 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1369   970  1420  0    2 10:44 ?        00:00:00 /usr/bin/python /usr/share/system-config-printer/applet.py
oscread+  1377     1  1377  0    2 10:44 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1377     1  1385  0    2 10:44 ?        00:00:00 /usr/bin/zeitgeist-daemon
oscread+  1394     1  1394  0    3 10:44 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1394     1  1402  0    3 10:44 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1394     1  1564  0    3 10:46 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
oscread+  1404  1394  1404  0    1 10:44 ?        00:00:00 /bin/cat
oscread+  1410     1  1410  0    6 10:44 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1410     1  1423  0    6 10:44 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1410     1  1436  0    6 10:44 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1410     1  1437  0    6 10:44 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1410     1  1438  0    6 10:44 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1410     1  1440  0    6 10:44 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
oscread+  1413     1  1413  0    1 10:44 ?        00:00:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
oscread+  1422     1  1422  0    7 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1422     1  1424  0    7 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1422     1  1425  0    7 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1422     1  1427  0    7 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1422     1  1429  0    7 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1422     1  1843  0    7 10:57 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1422     1  1845  0    7 10:57 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.9 /org/gtk/gvfs/exec_spaw/0
oscread+  1451     1  1451  0    3 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
oscread+  1451     1  1452  0    3 10:44 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
